保罗-乔治,快船,,22,23.9,8.40-17.90,46.8%,3.70-8.70,42.1%,3.50-3.80,91.1%,38,34.8,
科怀-伦纳德,快船,,23,23.8,8.90-17.00,52%,2.30-5.20,44.1%,3.80-4.30,87.7%,36,34.5,
泰雷斯-哈利伯顿,步行者,,24,23.6,8.30-16.90,49.6%,3.30-8.40,40%,3.50-4.10,86.2%,34,33.4,
特里-罗齐尔,黄蜂,,24,23.6,8.50-18.50,46%,2.90-7.80,36.7%,3.70-4.40,85%,29,35.5,
杰伦-布朗,凯尔特人,,26,23.1,8.80-18.00,49.1%,2.20-6.10,36%,3.20-4.40,72.9%,39,33.5,
凯德-坎宁安,活塞,,27,22.8,8.50-19.00,44.9%,1.90-5.60,33.5%,3.90-4.50,87%,36,34.5,
保罗-班切罗,魔术,,28,22.7,8.10-18.00,45%,1.40-4.00,34.9%,5.10-7.30,70.3%,42,35.0,
蔡恩-威廉森,鹈鹕,,29,22.0,8.70-14.80,58.8%,0.10-0.30,40%,4.50-6.80,65.5%,35,30.4,
凯尔-库兹马,奇才,,30,21.9,8.50-18.80,45.4%,2.30-6.70,34.1%,2.60-3.20,78.9%,41,31.2,
德马尔-德罗赞,公牛,,30,21.9,7.70-16.70,46.1%,1.00-2.90,33.9%,5.60-6.60,84.8%,42,37.0,
杰拉米-格兰特,开拓者,,32,21.8,7.60-16.60,46.1%,2.20-5.50,40.9%,4.30-5.40,79.8%,36,33.9,
小贾伦-杰克逊,灰熊,,33,21.7,7.30-16.20,45.4%,1.80-5.40,33.2%,5.20-6.20,83.8%,40,31.5,
卡尔-安东尼-唐斯,森林狼,,34,21.6,7.70-15.00,51.1%,2.00-4.70,43%,4.20-4.70,89.6%,41,32.9,
阿尔佩伦-申京,火箭,,35,21.5,8.50-15.90,53.6%,0.60-2.00,28%,4.00-5.50,71.8%,40,32.3,
布兰登-英格拉姆,鹈鹕,,35,21.5,7.90-16.20,48.8%,1.40-4.00,35.7%,4.20-5.20,81.2%,39,33.2,
巴姆-阿德巴约,热火,,35,21.5,7.90-15.70,50.4%,0.00-0.30,11.1%,5.70-7.30,78.1%,32,35.0,
米卡尔-布里奇斯,篮网,,38,21.3,7.40-16.50,45%,2.10-6.00,34.8%,4.30-5.20,83.9%,41,34.7,
德章泰-默里,老鹰,,39,21.1,8.20-17.40,47.1%,2.30-6.10,38.2%,2.40-2.90,82.9%,42,34.7,
弗朗茨-瓦格纳,魔术,,40,20.9,7.70-16.50,46.7%,1.40-4.80,28.8%,4.10-4.80,85.2%,34,33.4,
卡梅伦-托马斯,篮网,,41,20.6,7.50-17.30,43.6%,2.00-5.50,35.6%,3.60-4.40,80.9%,32,28.6,
迈尔斯-布里奇斯,黄蜂,,41,20.6,7.90-17.00,46.2%,2.30-6.30,35.9%,2.60-3.00,86.4%,29,36.8,
多曼塔斯-萨博尼斯,国王,,43,20.1,8.10-13.20,61.4%,0.50-1.10,41.3%,3.50-5.20,66.8%,41,35.2,
斯科蒂-巴恩斯,猛龙,,43,20.1,7.60-15.80,48.1%,2.00-5.50,36.7%,2.90-3.90,74%,43,35.0,
维克托·文班亚马,马刺,,45,19.9,7.40-16.10,46.2%,1.50-5.00,29.6%,3.60-4.60,79.9%,36,28.5,
克里斯塔普斯-波尔津吉斯,凯尔特人,,46,19.1,6.30-12.00,52.5%,1.60-4.90,33.6%,4.80-5.80,83.3%,31,29.9,
杰伦-威廉姆斯,雷霆,,47,18.8,7.30-13.30,54.7%,1.40-3.00,45.8%,2.90-3.50,82.6%,39,32.1,
科比-怀特,公牛,,48,18.6,6.60-14.60,45.5%,2.80-7.10,39.7%,2.50-3.10,81.6%,44,35.5,
小蒂姆-哈达威,独行侠,,49,18.1,6.20-14.70,41.8%,3.20-8.90,36.2%,2.60-2.90,87.7%,39,29.6,
乔丹-克拉克森,爵士,,50,17.9,6.40-15.20,41.7%,1.80-5.60,31.4%,3.40-3.80,88.2%,33,30.1,
